"source_section","source_section_name","field_id","field_name","destination","destination_field_name","destination_format","frequency","transformation","quirks_notes","spec_source"
"A","Personal Identity","A-aadhaar_number","Aadhaar Number","aml-fiu","AADHAAR_MASKED","CHAR(12)","on-event","truncate to N","only last-4 transmitted to FIU per UIDAI guidelines; full Aadhaar prohibited in STR/CTR narrative","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/78"
"A","Personal Identity","A-aadhaar_number","Aadhaar Number (Masked)","back-office","aadhaar_masked","VARCHAR(12)","one-time","truncate to N","stored masked XXXX-XXXX-1234; never store full in BO ledger","[industry typical]"
"A","Personal Identity","A-aadhaar_number","Aadhaar Number","bse-ucc","UID","CHAR(12)","one-time","truncate to N","Masked storage; KYC validated via UIDAI (not direct UCC upload)","BSE/20230819-6"
"A","Personal Identity","A-aadhaar_number","Aadhaar (Masked)","cdsl-bo","AADHAAR_MASKED","CHAR(12)","one-time","formatted","First 8 digits replaced with 'X', last 4 visible per CDSL/OPS/DP/SYSTM/2024/628; line 01 reserved position; full Aadhaar never stored","CDSL/OPS/DP/SYSTM/2024/628"
"A","Personal Identity","A-aadhaar_number","Aadhaar Number","ckyc","AADHAAR_LAST4","VARCHAR(4)","one-time","truncate to N","CKYC stores only last-4 digits of Aadhaar; full Aadhaar prohibited per UIDAI","CKYC/2025/16"
"A","Personal Identity","A-aadhaar_number","Aadhaar Number","kra","AADHAAR_REF","VARCHAR(28)","on-modify","derived from Y","KRA does not store full Aadhaar; only masked reference or VID","SEBI/HO/MIRSD/SECFATF/P/CIR/2023/169"
"A","Personal Identity","A-aadhaar_number","Aadhaar Number","mcx-ucc","UID","CHAR(12)","one-time","truncate to N","Masked; not part of canonical MCX UCC fields (KYC-side only)","MCX/TECH/394/2023"
"A","Personal Identity","A-aadhaar_number","Aadhaar (Masked)","nsdl-bo","AdhaarMskdNb","CHAR(12) UDiFF","one-time","formatted","Masked Aadhaar (first 8 X, last 4 visible) in ISO-tagged element; full Aadhaar prohibited by DPDP","NSDL/POLICY/2025/0056"
"A","Personal Identity","A-aadhaar_number","Aadhaar Number","nse-ucc","UID","CHAR(12)","one-time","truncate to N","Masked storage XXXX-XXXX-1234; full Aadhaar never transmitted to exchange UCC","NSE/ISC/61817"
"A","Personal Identity","A-aadhaar_reference_number","Aadhaar Reference (VID)","ckyc","AADHAAR_REFERENCE_NUMBER","VARCHAR(28)","one-time","[direct]","Used when offline Aadhaar XML or eKYC reference applies","CKYC/2025/16"
"A","Personal Identity","A-aadhaar_reference_number","Aadhaar Reference (VID)","kra","AADHAAR_VID","VARCHAR(28)","on-modify","[direct]","Virtual ID or DigiLocker reference; used in lieu of Aadhaar","[industry typical]"
"A","Personal Identity","A-ckyc_number","CKYC Number","aml-fiu","CKYC_KIN","CHAR(14)","on-event","[direct]","CKYC KIN included where available; helps FIU dedupe across REs","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/78"
"A","Personal Identity","A-ckyc_number","CKYC Number (KIN)","back-office","ckyc_kin","CHAR(14)","one-time","[direct]","14-digit KIN; cross-reference field for re-KYC","[industry typical]"
"A","Personal Identity","A-ckyc_number","CKYC Number (KIN)","back-office","ckyc_xref_status","VARCHAR(2)","on-event","[direct]","CKYC submission status; 7-day window from KYC change","SEBI/HO/MIRSD/SECFATF/P/CIR/2024/79"
